timestamp,open,high,low,close,volume
2025-08-01 00:00:00,968.51,969.05,966.96,967.59,2.46599975
2025-08-01 00:05:00,967.37,968.27,964.83,966.73,15.23201989
2025-08-01 00:10:00,966.04,966.04,960.0,961.04,15.700476550000001
2025-08-01 00:15:00,961.04,965.55,959.01,964.2,19.02387835
2025-08-01 00:20:00,966.42,966.42,964.02,965.86,23.446094889999998
2025-08-01 00:25:00,965.86,965.86,960.11,964.47,2.90533518
2025-08-01 00:30:00,963.81,963.81,960.01,960.01,1.48187396
2025-08-01 00:35:00,960.01,962.02,959.03,961.55,49.917148909999995
2025-08-01 00:40:00,962.46,962.63,955.67,955.78,172.55487959
2025-08-01 00:45:00,955.84,955.98,952.8,953.55,40.63134737
2025-08-01 00:50:00,951.76,951.76,943.75,950.98,229.07359993
2025-08-01 00:55:00,952.43,961.06,948.63,961.04,120.34071602
2025-08-01 01:00:00,960.08,962.2,960.01,961.3,7.47325993
2025-08-01 01:05:00,959.08,959.22,953.56,957.05,48.69006438
2025-08-01 01:10:00,954.12,954.12,948.81,948.81,5.08779728
2025-08-01 01:15:00,950.03,950.62,945.64,950.46,7.20452183
2025-08-01 01:20:00,949.93,957.18,949.93,957.18,19.76649503
2025-08-01 01:25:00,956.43,958.04,953.16,955.94,34.14339953
2025-08-01 01:30:00,953.07,956.51,953.05,956.05,7.67836481
2025-08-01 01:35:00,953.05,962.73,953.05,956.71,12.41691064
2025-08-01 01:40:00,959.98,960.91,959.98,960.72,3.52021165
2025-08-01 01:45:00,960.72,960.72,954.66,954.66,15.801353930000001
2025-08-01 01:50:00,955.57,958.21,955.1,957.92,5.26984023
2025-08-01 01:55:00,957.0,957.0,952.27,953.42,1.0471952900000001
2025-08-01 02:00:00,956.74,956.74,953.38,953.38,2.66520925
2025-08-01 02:05:00,955.27,960.08,955.27,959.89,9.988997289999999
2025-08-01 02:10:00,960.69,963.08,960.69,963.08,1.37038751
2025-08-01 02:15:00,963.08,966.13,961.03,966.13,28.31196672
2025-08-01 02:20:00,964.88,966.68,963.81,966.68,0.7610678299999999
2025-08-01 02:25:00,964.85,966.13,963.25,964.85,0.36649790000000004
2025-08-01 02:30:00,963.86,964.99,963.84,964.52,0.36997757
2025-08-01 02:35:00,964.03,966.48,964.03,964.75,19.63919441
2025-08-01 02:40:00,965.5,965.5,963.4,963.5,16.10744274
2025-08-01 02:45:00,963.19,964.99,963.19,963.95,3.29899943
2025-08-01 02:50:00,965.51,965.87,965.51,965.86,228.99973416
2025-08-01 02:55:00,965.86,965.86,965.84,965.84,1.1599548800000001
2025-08-01 03:00:00,964.99,964.99,964.97,964.97,0.11895834
2025-08-01 03:05:00,964.97,965.0,964.97,964.99,13.92863315
2025-08-01 03:10:00,964.54,964.99,963.19,963.19,13.34022169
2025-08-01 03:15:00,965.0,966.98,963.36,966.68,213.58370495
2025-08-01 03:30:00,969.0,970.98,969.0,970.97,5.321513309999999
2025-08-01 03:40:00,971.04,971.43,969.52,969.75,9.08402238
2025-08-01 03:45:00,966.96,966.96,966.96,966.96,0.07428325
2025-08-01 03:50:00,968.58,968.58,963.38,964.29,7.996181570000001
2025-08-01 03:55:00,965.46,965.47,963.51,963.51,90.13178421
2025-08-01 04:00:00,964.08,964.08,963.05,963.05,0.054643960000000005
2025-08-01 04:05:00,962.48,962.48,959.06,959.06,5.83091544
2025-08-01 04:10:00,959.5,959.5,957.59,957.59,0.054733790000000004
2025-08-01 04:20:00,957.18,957.18,957.18,957.18,0.102
2025-08-01 04:30:00,955.39,958.15,955.39,958.15,1.40346495
2025-08-01 04:35:00,959.95,959.95,956.56,958.2,0.18448556
2025-08-01 04:40:00,957.58,957.58,957.56,957.56,0.00407716
2025-08-01 04:45:00,955.62,955.62,955.62,955.62,0.91909
2025-08-01 04:50:00,956.57,956.57,956.57,956.57,0.16480531
2025-08-01 04:55:00,955.88,955.88,955.86,955.86,0.10386814
2025-08-01 05:00:00,956.67,956.67,956.67,956.67,0.02807871
2025-08-01 05:05:00,957.58,957.58,957.58,957.58,0.09117671
2025-08-01 05:15:00,955.05,955.05,951.25,951.25,6.00611959
2025-08-01 05:20:00,951.37,954.02,951.37,953.04,1.1077965799999998
2025-08-01 05:25:00,953.54,953.93,953.45,953.45,0.4391266
2025-08-01 05:30:00,951.05,951.05,951.05,951.05,2.214
2025-08-01 05:35:00,950.12,950.12,950.0,950.0,1.03157895
2025-08-01 05:40:00,953.42,953.45,952.71,952.91,1.1853027200000001
2025-08-01 05:45:00,948.0,949.83,947.18,949.83,4.311467029999999
2025-08-01 05:50:00,950.56,951.17,950.56,951.17,0.0030069
2025-08-01 05:55:00,950.44,950.44,950.44,950.44,0.0029539
2025-08-01 06:00:00,950.75,952.21,949.28,949.28,19.10255522
2025-08-01 06:05:00,947.76,947.76,947.1,947.1,9.29152142
2025-08-01 06:20:00,948.29,948.29,948.29,948.29,4.3058
2025-08-01 06:25:00,948.29,948.29,948.29,948.29,0.01238249
2025-08-01 06:30:00,948.11,949.33,948.11,949.33,0.41840286
2025-08-01 06:45:00,950.53,950.53,950.53,950.53,0.1034265
2025-08-01 06:50:00,953.56,954.61,953.56,954.61,0.04516801
2025-08-01 06:55:00,952.48,952.48,952.48,952.48,0.02290583
2025-08-01 07:00:00,954.64,954.64,954.64,954.64,0.00349084
2025-08-01 07:05:00,954.91,955.21,954.56,954.56,1.16670133
2025-08-01 07:10:00,953.91,953.91,953.91,953.91,0.00329499
2025-08-01 07:15:00,954.03,954.03,954.03,954.03,0.515
2025-08-01 07:20:00,955.33,955.33,954.35,954.35,0.049625090000000004
2025-08-01 07:25:00,951.67,951.67,951.67,951.67,0.00959801
2025-08-01 07:30:00,950.19,950.19,950.19,950.19,0.02
2025-08-01 07:35:00,947.98,947.98,947.98,947.98,0.43596732
2025-08-01 07:40:00,950.99,950.99,950.99,950.99,0.00121147
2025-08-01 07:45:00,952.23,953.55,952.23,953.55,1.5767204000000001
2025-08-01 07:50:00,950.9,950.9,950.9,950.9,0.00339152
2025-08-01 07:55:00,953.18,953.18,953.18,953.18,0.10313896
2025-08-01 08:00:00,947.87,947.87,946.41,946.41,0.32752376
2025-08-01 08:05:00,945.15,945.15,937.18,942.96,26.15805361
2025-08-01 08:10:00,942.05,942.05,941.3,941.3,0.56489302
2025-08-01 08:15:00,940.64,946.09,940.0,945.41,36.09584775
